weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:29:35Z,AMC DINE-IN Menlo Park 12,ET,2026-09-18,Friday,8:45pm,147022382,Dine-In Delivery to Seat,18.12,14.92,16.52,2.69,"{""Adult"":18.12,""Child"":14.92,""Senior"":16.52}",122217
2026-09-18,2026-09-19T14:29:36Z,AMC Star Gratiot 15,ET,2026-09-18,Friday,8:20pm,146586564,Thrills & Chills,12.99,9.99,11.49,2.69,"{""Adult"":12.99,""Child"":9.99,""Senior"":11.49}",9270
2026-09-18,2026-09-19T14:29:37Z,AMC Star Gratiot 15,ET,2026-09-18,Friday,10:00pm,146586607,Dolby Cinema at AMC,18.99,15.99,17.49,2.99,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9339
2026-09-18,2026-09-19T14:29:38Z,AMC Majestic 6,ET,2026-09-18,Friday,8:30pm,146535240,Thrills & Chills,16.49,13.49,14.99,2.69,"{""Adult"":16.49,""Child"":13.49,""Senior"":14.99}",9263
2026-09-18,2026-09-19T14:29:39Z,AMC Majestic 6,ET,2026-09-18,Friday,9:40pm,146535391,PRIME at AMC,23.49,20.49,21.99,2.99,"{""Adult"":23.49,""Child"":20.49,""Senior"":21.99}",9349
2026-09-18,2026-09-19T14:29:41Z,AMC Forum 30,ET,2026-09-18,Friday,7:30pm,146596366,IMAX at AMC,14.49,12.49,13.49,2.99,"{""Adult"":14.49,""Child"":12.49,""Senior"":13.49}",9229
2026-09-18,2026-09-19T14:29:42Z,AMC Forum 30,ET,2026-09-18,Friday,5:45pm,146596391,Open Caption (On-screen Subtitles),9.49,7.49,8.49,2.69,"{""Adult"":9.49,""Child"":7.49,""Senior"":8.49}",9111
2026-09-18,2026-09-19T14:29:43Z,AMC Forum 30,ET,2026-09-18,Friday,8:45pm,147063880,Thrills & Chills,9.49,7.49,8.49,2.69,"{""Adult"":9.49,""Child"":7.49,""Senior"":8.49}",9170
2026-09-18,2026-09-19T14:29:45Z,AMC Forum 30,ET,2026-09-18,Friday,9:15pm,146596406,Dolby Cinema at AMC,15.49,13.49,14.49,2.99,"{""Adult"":15.49,""Child"":13.49,""Senior"":14.49}",9335
2026-09-18,2026-09-19T14:29:47Z,AMC DINE-IN Midlothian 10,ET,2026-09-18,Friday,8:30pm,147118664,Dine-In Delivery to Seat,13.49,10.49,11.99,2.69,"{""Adult"":13.49,""Child"":10.49,""Senior"":11.99}",9326
